ROTA;DIREÇÃO;TURNO;CAPACIDADE;ALOCADOS
AFERIÇÃO 01 - DIVERSOS VC IDA;Ida;Diversos;15;7
AFERIÇÃO 01 - DIVERSOS VC VOLTA;Volta;Diversos;15;6
BOMBEIRO 01 - DIVERSOS TV IDA;Ida;Diversos;15;5
BOMBEIRO 01 - DIVERSOS TV VOLTA;Volta;Diversos;15;7
HINES 01 - 2T NORMAL TV IDA;Ida;Diversos;15;4
HINES 01 - 2T NORMAL TV VOLTA;Volta;Diversos;15;4
HINES 01 - ADM TV IDA;Ida;Diversos;15;6
HINES 01 - ADM TV VOLTA;Volta;Diversos;15;7
HINES 02 - 2T NORMAL TV IDA;Ida;Diversos;15;3
HINES 02 - 2T NORMAL TV VOLTA;Volta;Diversos;15;4
HINES 02 - ADM TV IDA;Ida;Diversos;15;11
HINES 02 - ADM TV VOLTA;Volta;Diversos;15;11
INTERNA - DIVERSOS VC IDA;Ida;Diversos;31;16
ONIBUS KM 48 - DIVERSOS VC IDA;Ida;Diversos;44;21
ONIBUS KM 48 - DIVERSOS VC VOLTA;Volta;Diversos;44;21
ROTA 01 - 1T ESPECIAL VC IDA;Ida;1T Especial;22;24
ROTA 01 - 1T ESPECIAL VC VOLTA;Volta;1T Especial;22;27
ROTA 01 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;22;15
ROTA 01 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;22;14
ROTA 01 - 2T ESPECIAL VC IDA;Ida;2T Especial;32;30
ROTA 01 - 2T ESPECIAL VC VOLTA;Volta;2T Especial;32;11
ROTA 01 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;14
ROTA 01 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;14
ROTA 01 - 2T NORMAL JC IDA;Ida;2T Normal LSL;31;24
ROTA 01 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;31;24
ROTA 01 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;32;28
ROTA 01 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;32;28
ROTA 01 - 2T NORMAL VC IDA;Ida;2T Normal;32;34
ROTA 01 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;34
ROTA 01 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;17
ROTA 01 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;17
ROTA 01 - 3T ESPECIAL VC IDA;Ida;3T Especial;32;30
ROTA 01 - 3T ESPECIAL VC VOLTA;Volta;3T Especial;32;33
ROTA 01 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;22;14
ROTA 01 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;22;14
ROTA 01 - ADM JC IDA;Ida;ADM LSL;44;43
ROTA 01 - ADM JC VOLTA;Volta;ADM LSL;44;38
ROTA 01 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;32;14
ROTA 01 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;32;0
ROTA 01 - ADM TM VOLTA;Volta;ADM;44;38
ROTA 01 - ADM VC IDA;Ida;ADM;48;45
ROTA 01 - ADM XX P2 IDA;Ida;ADM P2;44;39
ROTA 01 - ADM XX P2 VOLTA;Volta;ADM P2;32;23
ROTA 01 AGRÍCOLA - DIVERSOS VC IDA;Ida;Diversos;15;0
ROTA 01 AGRÍCOLA - DIVERSOS VC VOLTA;Volta;Diversos;15;0
ROTA 01 - APRENDIZ ED IDA;Ida;Aprendiz;22;13
ROTA 01 - APRENDIZ ED VOLTA;Volta;Aprendiz;22;14
ROTA 01 CETH - 2T NORMAL VC IDA;Ida;Diversos;16;2
ROTA 01 CETH - 2T NORMAL VC VOLTA;Volta;Diversos;16;2
ROTA 01 CETH - ADM VC IDA;Ida;Diversos;16;5
ROTA 01 CETH - ADM VC VOLTA;Volta;Diversos;16;5
ROTA 01 - CRECHE 1T ESPECIAL VC VOLTA;Volta;Creche 1T Especial;15;6
ROTA 01 - CRECHE ADM ED IDA;Ida;Creche ADM;22;5
ROTA 01 - CRECHE ADM ED VOLTA;Volta;Creche ADM;22;8
ROTA 01 - ESTAGIARIO VC VOLTA;Volta;Estagiário ;22;15
ROTA 01 TRANSBORDO - DIVERSOS VC IDA;Ida;Diversos;44;63
ROTA 02 - 1T ESPECIAL VC IDA;Ida;1T Especial;32;27
ROTA 02 - 1T ESPECIAL VC VOLTA;Volta;1T Especial;32;30
ROTA 02 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;22
ROTA 02 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;22
ROTA 02 - 2T ESPECIAL VC IDA;Ida;2T Especial;32;30
ROTA 02 - 2T ESPECIAL VC VOLTA;Volta;2T Especial;32;30
ROTA 02 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;15
ROTA 02 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;15
ROTA 02 - 2T NORMAL JC IDA;Ida;2T Normal LSL;44;35
ROTA 02 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;44;35
ROTA 02 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;22;17
ROTA 02 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;22;17
ROTA 02 - 2T NORMAL VC IDA;Ida;2T Normal;32;30
ROTA 02 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;30
ROTA 02 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;19
ROTA 02 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;19
ROTA 02 - 3T ESPECIAL VC IDA;Ida;3T Especial;32;27
ROTA 02 - 3T ESPECIAL VC VOLTA;Volta;3T Especial;32;27
ROTA 02 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;22;16
ROTA 02 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;22;0
ROTA 02 - ADM JC IDA;Ida;ADM LSL;44;52
ROTA 02 - ADM JC VOLTA;Volta;ADM LSL;44;49
ROTA 02 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;44;34
ROTA 02 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;44;34
ROTA 02 - ADM VC IDA;Ida;ADM;44;41
ROTA 02 - ADM VC VOLTA;Volta;ADM;44;41
ROTA 02 - ADM XX P2 IDA;Ida;ADM P2;32;28
ROTA 02 - ADM XX P2 VOLTA;Volta;ADM P2;32;20
ROTA 02 AGRÍCOLA - DIVERSOS VC IDA;Ida;Diversos;15;0
ROTA 02 AGRÍCOLA - DIVERSOS VC VOLTA;Volta;Diversos;15;0
ROTA 02 - APOIO TV IDA;Ida;ADM;32;2
ROTA 02 - APRENDIZ ED VOLTA;Volta;Aprendiz;22;25
ROTA 02 - APRENDIZ VC IDA;Ida;Aprendiz;15;10
ROTA 02 CETH - 2T NORMAL VC IDA;Ida;Diversos;15;1
ROTA 02 CETH - 2T NORMAL VC VOLTA;Volta;Diversos;16;1
ROTA 02 CETH - ADM VC IDA;Ida;Diversos;16;3
ROTA 02 CETH - ADM VC VOLTA;Volta;Diversos;16;3
ROTA 02 - CRECHE 1T ESPECIAL VC VOLTA;Volta;Creche 1T Especial;15;4
ROTA 02 - CRECHE ADM ED IDA;Ida;Creche ADM;22;8
ROTA 02 - CRECHE ADM ED VOLTA;Volta;Creche ADM;22;5
ROTA 02 - ESTAGIARIO TM VOLTA;Volta;Estagiário ;22;22
ROTA 02 TRANSBORDO - DIVERSOS VC IDA;Ida;Diversos;44;35
ROTA 03 - 1T ESPECIAL VC IDA;Ida;1T Especial;32;34
ROTA 03 - 1T ESPECIAL VC VOLTA;Volta;1T Especial;32;33
ROTA 03 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;17
ROTA 03 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;17
ROTA 03 - 2T ESPECIAL VC IDA;Ida;2T Especial;32;31
ROTA 03 - 2T ESPECIAL VC VOLTA;Volta;2T Especial;32;30
